                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92123,                 1.7878,                  1.019,                0.40194,                    0.5,                  0.745,                0.37271,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                0.78434,                 1.3116,                0.88313,                 0.4267,                    0.5,                  0.745,                0.37291,                      0,                    inf,                      0,               0.099098,              9.802e-05,              9.802e-05
                      2,                0.77035,                 1.4369,                   0.92,                0.43316,                    0.5,                  0.745,                0.37271,                      0,                    inf,                      0,               0.098192,             0.00019208,             0.00019208
                      3,                0.83294,                  1.211,                0.89462,                0.55565,                0.66695,                0.82833,                0.41417,                      0,                    inf,                      0,               0.097282,             0.00028218,             0.00028218
                      4,                0.92731,                 1.6296,                0.95861,                0.54864,                0.64592,                0.82833,                0.34865,                      0,                    inf,                      0,               0.096368,             0.00036832,             0.00036832
                      5,                0.81112,                 1.0761,                0.89471,                0.64007,                    0.5,                0.82833,                0.38129,                      0,                    inf,                      0,               0.095451,              0.0004505,              0.0004505
                      6,                0.76348,                0.99153,                 0.8583,                0.66622,                    0.5,                0.82833,                0.38108,                      0,                    inf,                      0,               0.094529,             0.00052872,             0.00052872
                      7,                0.50435,                 1.1843,                0.89453,                0.70141,                    0.5,                0.82833,                0.38088,                      0,                    inf,                      0,               0.093603,             0.00060298,             0.00060298
                      8,                0.38993,                 1.1314,                0.81736,                0.56559,                    0.5,                0.82833,                0.33133,                      0,                    inf,                      0,               0.092673,             0.00067328,             0.00067328
                      9,                0.64161,                 1.3884,                0.85881,                      1,                0.85425,                  0.995,                0.42279,                      0,                    inf,                      0,                0.09174,             0.00073962,             0.00073962
                     10,                0.36503,                  1.009,                0.86486,                      1,                0.87988,                  0.995,                0.42989,                      0,                    inf,                      0,               0.090802,               0.000802,               0.000802
                     11,                0.58351,                 1.1325,                0.83409,                      1,                0.90713,                  0.995,                 0.4975,                      0,                    inf,                      0,                0.08986,             0.00086042,             0.00086042
                     12,                0.65022,                 1.1814,                0.92455,                0.89859,                    0.5,                0.82833,                0.36033,                      0,                    inf,                      0,               0.088915,             0.00091488,             0.00091488
                     13,                0.50206,                  1.256,                0.93227,                      1,                0.88636,                  0.995,                0.46425,                      0,                    inf,                      0,               0.087965,             0.00096538,             0.00096538
                     14,                0.48631,                 1.4249,                0.87207,                      1,                0.88398,                  0.995,                0.38997,                      0,                    inf,                      0,               0.087012,              0.0010119,              0.0010119
                     15,                0.54187,                 1.1786,                0.88382,                      1,                0.87406,                  0.995,                0.35646,                      0,                    inf,                      0,               0.086055,              0.0010545,              0.0010545
                     16,                0.59997,                 1.2247,                0.86191,                0.88443,                    0.5,                0.82833,                0.31521,                      0,                    inf,                      0,               0.085093,              0.0010931,              0.0010931
                     17,                0.56968,                 1.2047,                0.82603,                0.88443,                    0.5,                0.82833,                0.31521,                      0,                    inf,                      0,               0.084128,              0.0011278,              0.0011278
                     18,                0.50211,                 1.0814,                0.78047,                0.89319,                    0.5,                0.82833,                0.38117,                      0,                    inf,                      0,               0.083158,              0.0011585,              0.0011585
                     19,                0.54776,                 1.2796,                0.84493,                0.89319,                    0.5,                0.82833,                0.38117,                      0,                    inf,                      0,               0.082185,              0.0011852,              0.0011852
                     20,                0.75608,                0.88382,                0.82912,                0.90547,                    0.5,                0.82833,                0.38117,                      0,                    inf,                      0,               0.081208,               0.001208,               0.001208
                     21,                0.68473,                 1.3259,                0.95114,                0.90547,                    0.5,                0.82833,                0.38117,                      0,                    inf,                      0,               0.080227,              0.0012268,              0.0012268
                     22,                0.46161,                 1.2135,                0.86384,                0.90418,                    0.5,                  0.745,                0.29689,                      0,                    inf,                      0,               0.079242,              0.0012417,              0.0012417
                     23,                0.86824,                0.94649,                0.93175,                0.90418,                    0.5,                  0.745,                0.29689,                      0,                    inf,                      0,               0.078253,              0.0012526,              0.0012526
                     24,                0.66527,                 0.9048,                0.90788,                0.93225,                    0.5,                0.82833,                0.31868,                      0,                    inf,                      0,                0.07726,              0.0012595,              0.0012595
                     25,                 0.7677,                 1.1981,                0.89745,                0.93225,                    0.5,                0.82833,                0.31868,                      0,                    inf,                      0,               0.076263,              0.0012625,              0.0012625
                     26,                0.71442,                0.98564,                0.80432,                0.94913,                    0.5,                0.82833,                0.33113,                      0,                    inf,                      0,               0.075262,              0.0012615,              0.0012615
                     27,                 0.7763,                0.91517,                0.89568,                0.94913,                    0.5,                0.82833,                0.33113,                      0,                    inf,                      0,               0.074257,              0.0012566,              0.0012566
                     28,                 0.5932,                 1.0976,                0.87642,                      1,                0.95167,                  0.995,                0.35398,                      0,                    inf,                      0,               0.073248,              0.0012477,              0.0012477
