                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.68752,                 1.8307,                0.82659,                0.88791,                    0.5,                0.82833,                0.34758,                      0,                    inf,                      0,               0.083158,              0.0011585,              0.0011585
                     19,                 0.6602,                 1.6933,                0.59716,                0.88791,                    0.5,                0.82833,                0.34758,                      0,                    inf,                      0,               0.082185,              0.0011852,              0.0011852
                     20,                0.81849,                 1.5524,                0.82588,                0.89895,                    0.5,                  0.745,                0.32611,                      0,                    inf,                      0,               0.081208,               0.001208,               0.001208
                     21,                0.72198,                 1.8747,                0.96795,                0.89895,                    0.5,                  0.745,                0.32611,                      0,                    inf,                      0,               0.080227,              0.0012268,              0.0012268
                     22,                0.49261,                 1.6772,                0.82697,                0.91517,                    0.5,                0.82833,                 0.3205,                      0,                    inf,                      0,               0.079242,              0.0012417,              0.0012417
                     23,                 1.1489,                 1.4576,                0.93157,                0.91517,                    0.5,                0.82833,                 0.3205,                      0,                    inf,                      0,               0.078253,              0.0012526,              0.0012526
                     24,                0.85491,                 1.2583,                0.92223,                      1,                0.90892,                  0.995,                0.40268,                      0,                    inf,                      0,                0.07726,              0.0012595,              0.0012595
                     25,                0.85305,                 1.2973,                0.85576,                      1,                0.90892,                  0.995,                0.40268,                      0,                    inf,                      0,               0.076263,              0.0012625,              0.0012625
                     26,                 0.6069,                 1.5836,                0.77884,                      1,                0.90299,                  0.995,                0.40239,                      0,                    inf,                      0,               0.075262,              0.0012615,              0.0012615
                     27,                0.78462,                  1.174,                0.84366,                      1,                0.90299,                  0.995,                0.40239,                      0,                    inf,                      0,               0.074257,              0.0012566,              0.0012566
                     28,                0.45356,                 1.4847,                 0.7672,                0.84312,                    0.5,                0.82833,                0.34808,                      0,                    inf,                      0,               0.073248,              0.0012477,              0.0012477
                     29,                0.64558,                 1.6189,                0.86093,                0.84312,                    0.5,                0.82833,                0.34808,                      0,                    inf,                      0,               0.072235,              0.0012348,              0.0012348
                     30,                0.83953,                  1.673,                0.82993,                 0.5677,                 0.7031,                0.82833,                 0.3479,                      0,                    inf,                      0,               0.071218,               0.001218,               0.001218
                     31,                0.87193,                 1.4376,                0.95478,                 0.5677,                 0.7031,                0.82833,                 0.3479,                      0,                    inf,                      0,               0.070197,              0.0011972,              0.0011972
                     32,                0.62107,                 1.5239,                0.81579,                0.54774,                0.64323,                0.82833,                0.29879,                      0,                    inf,                      0,               0.069172,              0.0011725,              0.0011725
                     33,                0.84685,                 1.6263,                 1.0145,                0.54774,                0.64323,                0.82833,                0.29879,                      0,                    inf,                      0,               0.068144,              0.0011438,              0.0011438
                     34,                 1.0741,                 1.7283,                0.92889,                0.61207,                0.83621,                0.82833,                0.25791,                      0,                    inf,                      0,               0.067111,              0.0011111,              0.0011111
                     35,                0.68203,                 1.1311,                0.83573,                0.61207,                0.83621,                0.82833,                0.25791,                      0,                    inf,                      0,               0.066075,              0.0010745,              0.0010745
                     36,                0.45451,                 1.2302,                0.81726,                0.50094,                    0.5,                0.82833,                 0.2066,                      0,                    inf,                      0,               0.065034,              0.0010339,              0.0010339
                     37,                 1.0455,                 1.6517,                0.92169,                0.50094,                    0.5,                0.82833,                 0.2066,                      0,                    inf,                      0,               0.063989,             0.00098938,             0.00098938
                     38,                0.63359,                 1.5712,                0.89809,                0.57473,                      1,                0.82833,                0.14881,                      0,                    inf,                      0,               0.062941,             0.00094088,             0.00094088
                     39,                0.52097,                 2.0984,                0.86699,                0.57473,                      1,                0.82833,                0.14881,                      0,                    inf,                      0,               0.061888,             0.00088842,             0.00088842
                     40,                0.58579,                 1.6072,                 0.8272,                0.34225,                      1,                  0.995,                0.23002,                      0,                    inf,                      0,               0.060832,               0.000832,               0.000832
                     41,                0.66963,                 1.2845,                0.82889,                0.34225,                      1,                  0.995,                0.23002,                      0,                    inf,                      0,               0.059772,             0.00077162,             0.00077162
                     42,                 0.7891,                 1.4784,                0.94131,                0.51555,                      1,                0.82833,                0.29842,                      0,                    inf,                      0,               0.058707,             0.00070728,             0.00070728
                     43,                0.86373,                 1.4817,                0.83158,                0.51555,                      1,                0.82833,                0.29842,                      0,                    inf,                      0,               0.057639,             0.00063898,             0.00063898
                     44,                0.80773,                 1.7585,                0.87415,                0.66471,                0.99413,                0.82833,                0.38109,                      0,                    inf,                      0,               0.056567,             0.00056672,             0.00056672
                     45,                0.62261,                 1.3343,                 0.8279,                0.66471,                0.99413,                0.82833,                0.38109,                      0,                    inf,                      0,                0.05549,              0.0004905,              0.0004905
                     46,                0.91477,                 1.3137,                0.87682,                0.35306,                    0.5,                  0.745,                0.34796,                      0,                    inf,                      0,                0.05441,             0.00041032,             0.00041032
                     47,                 1.0493,                 1.4966,                0.92301,                0.35306,                    0.5,                  0.745,                0.34796,                      0,                    inf,                      0,               0.053326,             0.00032618,             0.00032618
                     48,                0.46475,                 1.2417,                0.96967,                0.35466,                    0.5,                  0.745,                0.34775,                      0,                    inf,                      0,               0.052238,             0.00023808,             0.00023808
                     49,                0.74401,                 1.5868,                0.92128,                0.35466,                    0.5,                  0.745,                0.34775,                      0,                    inf,                      0,               0.051146,             0.00014602,             0.00014602
