                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  0.551,                 2.2551,                0.83612,                0.55132,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                0.42073,                 1.6007,                0.74489,                0.57371,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.099098,              9.802e-05,              9.802e-05
                      2,                0.64784,                 2.4153,                0.94176,                0.60495,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.098192,             0.00019208,             0.00019208
                      3,                0.63028,                  1.622,                0.84995,                0.62938,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.097282,             0.00028218,             0.00028218
                      4,                 0.9559,                 2.6723,                0.95591,                0.65188,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.096368,             0.00036832,             0.00036832
                      5,                0.66688,                 1.7851,                0.90614,                0.67768,                    0.5,                0.82833,                0.46371,                      0,                    inf,                      0,               0.095451,              0.0004505,              0.0004505
                      6,                0.84477,                 1.9203,                0.84112,                0.70789,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.094529,             0.00052872,             0.00052872
                      7,                0.60661,                 2.2054,                 0.8097,                0.72028,                    0.5,                  0.695,                0.39704,                      0,                    inf,                      0,               0.093603,             0.00060298,             0.00060298
                      8,                0.37258,                 1.5442,                 0.8094,                0.76736,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.092673,             0.00067328,             0.00067328
                      9,                0.79157,                 2.0041,                0.93011,                0.80287,                    0.5,                0.82833,                0.46371,                      0,                    inf,                      0,                0.09174,             0.00073962,             0.00073962
                     10,                0.59501,                 1.5133,                0.87823,                 0.8298,                    0.5,                0.82833,                0.51325,                      0,                    inf,                      0,               0.090802,               0.000802,               0.000802
                     11,                0.59042,                 2.0642,                0.87031,                0.86138,                    0.5,                0.82833,                0.46371,                      0,                    inf,                      0,                0.08986,             0.00086042,             0.00086042
                     12,                0.67042,                 1.4772,                0.93074,                0.87003,                    0.5,                  0.745,                 0.3725,                      0,                    inf,                      0,               0.088915,             0.00091488,             0.00091488
                     13,                0.57339,                 1.5375,                0.93241,                0.87584,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.087965,             0.00096538,             0.00096538
                     14,                0.51942,                 1.6409,                0.80275,                0.87223,                    0.5,                  0.745,                0.34754,                      0,                    inf,                      0,               0.087012,              0.0010119,              0.0010119
                     15,                0.77808,                 1.8237,                0.85396,                0.87979,                    0.5,                  0.745,                 0.3725,                      0,                    inf,                      0,               0.086055,              0.0010545,              0.0010545
                     16,                0.76876,                 1.9695,                0.88582,                0.88584,                    0.5,                  0.745,                0.34754,                      0,                    inf,                      0,               0.085093,              0.0010931,              0.0010931
                     17,                0.91671,                 1.9275,                0.84402,                0.88584,                    0.5,                  0.745,                0.34754,                      0,                    inf,                      0,               0.084128,              0.0011278,              0.0011278
