                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.47674,                 2.8667,                0.80475,                0.00333,                      1,                0.82833,                0.34848,                      0,                    inf,                      0,               0.062941,             0.00094088,             0.00094088
                     39,                 0.6524,                 2.7431,                0.93267,                0.00333,                      1,                0.82833,                0.34848,                      0,                    inf,                      0,               0.061888,             0.00088842,             0.00088842
                     40,                0.58735,                 1.9926,                0.79234,                0.00333,                      1,                0.82833,                 0.3485,                      0,                    inf,                      0,               0.060832,               0.000832,               0.000832
                     41,                0.63344,                 2.1282,                0.85471,                0.00333,                      1,                0.82833,                 0.3485,                      0,                    inf,                      0,               0.059772,             0.00077162,             0.00077162
                     42,                0.64949,                 1.9975,                0.93367,                0.00333,                      1,                  0.745,                0.31105,                      0,                    inf,                      0,               0.058707,             0.00070728,             0.00070728
                     43,                 0.9212,                 2.2596,                0.88512,                0.00333,                      1,                  0.745,                0.31105,                      0,                    inf,                      0,               0.057639,             0.00063898,             0.00063898
                     44,                  0.701,                 2.8478,                0.79914,                0.00333,                      1,                  0.745,                0.37275,                      0,                    inf,                      0,               0.056567,             0.00056672,             0.00056672
                     45,                0.72616,                 2.2132,                0.76237,                0.00333,                      1,                  0.745,                0.37275,                      0,                    inf,                      0,                0.05549,              0.0004905,              0.0004905
                     46,                0.63175,                 2.5135,                0.85603,                0.02174,                      1,                  0.745,                0.42204,                      0,                    inf,                      0,                0.05441,             0.00041032,             0.00041032
                     47,                0.69725,                 1.8286,                 0.8172,                0.02174,                      1,                  0.745,                0.42204,                      0,                    inf,                      0,               0.053326,             0.00032618,             0.00032618
                     48,                0.72972,                  1.883,                 0.9701,                0.50322,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.052238,             0.00023808,             0.00023808
                     49,                0.59103,                 1.9287,                 0.9298,                0.50322,                    0.5,                  0.745,                0.42204,                      0,                    inf,                      0,               0.051146,             0.00014602,             0.00014602
