                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.56476,                  1.338,                0.89048,                      1,                0.97306,                  0.995,                0.25014,                      0,                    inf,                      0,               0.061888,             0.00088842,             0.00088842
                     40,                0.64862,                 1.0992,                0.82608,                      1,                0.97298,                  0.995,                0.24991,                      0,                    inf,                      0,               0.060832,               0.000832,               0.000832
                     41,                0.50935,                0.94527,                0.81964,                      1,                0.97298,                  0.995,                0.24991,                      0,                    inf,                      0,               0.059772,             0.00077162,             0.00077162
                     42,                 1.0435,                  1.054,                 1.0344,                      1,                0.97346,                  0.995,                0.27479,                      0,                    inf,                      0,               0.058707,             0.00070728,             0.00070728
                     43,                0.66175,                0.99239,                 0.7816,                      1,                0.97346,                  0.995,                0.27479,                      0,                    inf,                      0,               0.057639,             0.00063898,             0.00063898
                     44,                0.77052,                 1.3842,                0.86919,                      1,                0.97324,                  0.995,                0.27468,                      0,                    inf,                      0,               0.056567,             0.00056672,             0.00056672
                     45,                0.58907,                 1.0877,                0.83194,                      1,                0.97324,                  0.995,                0.27468,                      0,                    inf,                      0,                0.05549,              0.0004905,              0.0004905
                     46,                0.67553,                 1.0747,                0.88331,                      1,                0.97202,                  0.995,                0.27472,                      0,                    inf,                      0,                0.05441,             0.00041032,             0.00041032
                     47,                0.66351,                  1.125,                0.81474,                      1,                0.97202,                  0.995,                0.27472,                      0,                    inf,                      0,               0.053326,             0.00032618,             0.00032618
                     48,                0.67233,                0.94954,                0.96843,                      1,                0.97147,                  0.995,                0.27488,                      0,                    inf,                      0,               0.052238,             0.00023808,             0.00023808
                     49,                0.83776,                 1.0558,                0.95607,                      1,                0.97147,                  0.995,                0.27488,                      0,                    inf,                      0,               0.051146,             0.00014602,             0.00014602
